open;close;RSI;MACD;Momentum;Direction
1.07944;1.07944;46.571012549339066;-8.152991446652713e-05;1.0000000000065512e-05;0
1.07962;1.07966;57.90066793991575;-4.734391669525273e-05;0.00016000000000016001;1
1.07962;1.07956;53.075467527514576;-4.166576234654329e-05;2.0000000000131024e-05;0
1.07957;1.07962;56.424225737701896;-2.4483251012563656e-05;0.00031000000000003247;1
1.07953;1.07952;49.96905224301507;-2.1210254925296823e-05;0.000280000000000058;0
1.07957;1.07967;59.312314767492296;3.456183648165023e-07;0.0004199999999998649;1open,close,Mom,RSI,MACD,Direction
1.08526,1.08528,0.00024000000000001798,58.277788458450026,5.634910349439082e-05,0
1.08536,1.08523,0.00011999999999989797,53.8585125024388,4.983447607598279e-05,0
open,close,Mom,RSI,MACD,Direction
1.08357,1.08364,0.00015999999999993797,46.76523735297424,-4.485768034601101e-05,0
open,close,Mom,RSI,MACD,Direction
1.08362,1.08353,-0.00011999999999989797,41.47162651230615,-4.770772977003013e-05,0
open,close,Mom,RSI,MACD,Direction
1.08348,1.08348,-0.00015999999999993797,39.057888261998144,-5.296068249416308e-05,0
1.08347,1.08347,-0.000280000000000058,38.58195192422385,-5.904729895855887e-05,0
open,close,Mom,RSI,MACD,Direction
1.08389,1.08389,0.0003500000000000725,59.33430437705786,5.921203694847499e-05,0
open,close,Mom,RSI,MACD,Direction
1.08389,1.08383,0.0002900000000001235,55.57790673641392,5.442571216218717e-05,0
1.08393,1.08396,0.0004900000000001015,64.35294009911044,7.282424340493421e-05,1
open,close,Mom,RSI,MACD,Direction
1.08478,1.08482,0.0003399999999997849,61.32212302811168,0.0001756802847940886,0
1.08491,1.08494,0.00018999999999991246,65.24381678457854,0.00018113556009469178,1
open,close,Mom,RSI,MACD,Direction
1.085,1.08501,0.0001100000000000545,59.687610356137334,0.0001721696211609558,0
1.08505,1.08505,0.000180000000000069,60.32734657649799,0.000170862825141338,1
open,close,Mom,RSI,MACD,Direction
1.08512,1.085,-0.0002900000000001235,53.65344777643756,0.00012534736230285226,0
1.08492,1.08492,-3.999999999981796e-05,50.269712216031095,0.00011120576248901948,0
open,close,Mom,RSI,MACD,Direction
1.085,1.08495,-2.999999999997449e-05,47.928112110425936,2.0707250471652117e-05,0
1.08476,1.08493,9.999999999843467e-06,48.065243526183565,2.6078388342121173e-06,0
open,close,Mom,RSI,MACD,Direction
1.08689,1.08699,-9.999999999998899e-05,41.06634047849113,-0.00013521689055351338,0
1.08695,1.087,-0.00021000000000004349,41.73591421368336,-0.00013284049415607235,1
open,close,Mom,RSI,MACD,Direction
1.08644,1.08644,-0.0004499999999998394,28.484700469187587,-0.0002244646756524027,0
1.08606,1.08606,-0.0008299999999998864,23.381021083556192,-0.0002865688244424458,0
open,close,Mom,RSI,MACD,Direction
1.0865,1.0865,0.00035999999999991594,49.467986335721136,-0.00011292317840450039,0
1.08657,1.08657,0.0007300000000001194,51.49387451340844,-9.045803768348293e-05,1
open,close,Mom,RSI,MACD,Direction
1.08656,1.08651,0.00012000000000012001,49.492251974578934,-2.6387580999820415e-05,0
1.0863,1.08656,-2.0000000000131024e-05,50.84311416420917,-2.6423436675804268e-05,1
open,close,Mom,RSI,MACD,Direction
1.08676,1.08676,9.999999999998899e-05,54.4634192122695,5.118481237631478e-05,0
1.08663,1.08663,-0.0001100000000000545,49.876160186120735,3.898559770409982e-05,0
open,close,Mom,RSI,MACD,Direction
1.08756,1.08756,0.0004900000000001015,70.36688333821849,0.00026076530379870455,0
1.08747,1.08746,0.0003900000000001125,63.44688937850635,0.00024131362276080814,0
open,close,Mom,RSI,MACD,Direction
1.08727,1.08727,-0.00015999999999993797,52.27623209607482,0.00013305273026675835,0
1.08732,1.08732,-5.999999999994898e-05,54.22450519420895,0.0001240687236232496,1
open,close,Mom,RSI,MACD,Direction
1.08715,1.08715,-0.00024999999999986144,47.16966207192264,5.753774685035573e-05,0
1.08718,1.08718,-0.00021999999999988695,48.81594396549775,4.2435433605714223e-05,1
